["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1000, 3)
1.9061396737652750e+14 4.4017660519617375e-03 1.1521631469300248e+01
1.9062609989306856e+14 4.4429939061843959e-03 1.1560128938480807e+01
1.9063823395416934e+14 4.4843248754933259e-03 1.1598863181856927e+01
1.9065036956012475e+14 4.5257325175068440e-03 1.1637829432987022e+01
1.9066250671122994e+14 4.5671919020072796e-03 1.1677022735530436e+01
1.9067464540778000e+14 4.6086795991600628e-03 1.1716437974085490e+01
1.9068678565007003e+14 4.6501736605690895e-03 1.1756069901790726e+01
1.9069892743839544e+14 4.6916535939268995e-03 1.1795913164901846e+01
1.9071107077305144e+14 4.7331003319687551e-03 1.1835962324560162e+01
1.9072321565433356e+14 4.7744961964050724e-03 1.1876211875977450e+01
1.9073536208253728e+14 4.8158248574442205e-03 1.1916656265248253e+01
1.9074751005795809e+14 4.8570712894850090e-03 1.1957289904005991e+01
1.9075965958089172e+14 4.8982217235080394e-03 1.1998107182126041e+01
1.9077181065163388e+14 4.9392635966563972e-03 1.2039102478670008e+01
1.9078396327048031e+14 4.9801854994555202e-03 1.2080270171259304e+01
1.9079611743772697e+14 5.0209771210898745e-03 1.2121604644052654e+01
1.9080827315366972e+14 5.0616291931133098e-03 1.2163100294489936e+01
1.9082043041860466e+14 5.1021334319464404e-03 1.2204751538958314e+01
1.9083258923282781e+14 5.1424824804806903e-03 1.2246552817517816e+01
1.9084474959663544e+14 5.1826698490844885e-03 1.2288498597821103e+01
1.9085691151032375e+14 5.2226898562823974e-03 1.2330583378342126e+01
1.9086907497418903e+14 5.2625375693572500e-03 1.2372801691025739e+01
1.9088123998852772e+14 5.3022087451062650e-03 1.2415148103455218e+01
1.9089340655363631e+14 5.3416997709608456e-03 1.2457617220626037e+01
1.9090557466981131e+14 5.3810076066670995e-03 1.2500203686405806e+01
1.9091774433734941e+14 5.4201297267103023e-03 1.2542902184752643e+01
1.9092991555654725e+14 5.4590640636460750e-03 1.2585707440751188e+01
1.9094208832770162e+14 5.4978089525009191e-03 1.2628614221525897e+01
1.9095426265110944e+14 5.5363630763786628e-03 1.2671617337075332e+01
1.9096643852706753e+14 5.5747254134134051e-03 1.2714711641070853e+01
1.9097861595587300e+14 5.6128951851895075e-03 1.2757892031655803e+01
1.9099079493782284e+14 5.6508718067442608e-03 1.2801153452270833e+01
1.9100297547321428e+14 5.6886548382613358e-03 1.2844490892535159e+01
1.9101515756234456e+14 5.7262439385509173e-03 1.2887899389197283e+01
1.9102734120551091e+14 5.7636388204079445e-03 1.2931374027174177e+01
1.9103952640301078e+14 5.8008392079323835e-03 1.2974909940689697e+01
1.9105171315514162e+14 5.8378447958822143e-03 1.3018502314516557e+01
1.9106390146220097e+14 5.8746552111302299e-03 1.3062146385329504e+01
1.9107609132448644e+14 5.9112699762810640e-03 1.3105837443168600e+01
1.9108828274229566e+14 5.9476884755026143e-03 1.3149570833011968e+01
1.9110047571592650e+14 5.9839099226145038e-03 1.3193341956454793e+01
